County,Precinct,Bentley F. Hensel,David R. Kennedy,"Donald S. Beyer, Jr.",Jerry W. Torres,Write-In
FALLS CHURCH CITY,001 - FIRST WARD (WARD 1),0,0,0,0,0
FALLS CHURCH CITY,002 - SECOND WARD (WARD 2),0,0,0,0,0
FALLS CHURCH CITY,003 - THIRD WARD (WARD 3),0,0,0,0,0
FALLS CHURCH CITY,FALLS CHURCH CITY PROVISIONALS,0,0,0,0,0
ALEXANDRIA CITY,101 - OLD TOWN NORTH (0000),0,0,0,0,0
ALEXANDRIA CITY,102 - CITY HALL (0000),0,0,0,0,0
ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,104 - DURANT CENTER (0000),0,0,0,0,0
ALEXANDRIA CITY,105 - LEE CENTER (0000),0,0,0,0,0
ALEXANDRIA CITY,106 - CORA KELLY (0000),0,0,0,0,0
ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER (0000),0,0,0,0,0
ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH (0000),0,0,0,0,0
ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS (0000),0,0,0,0,0
ALEXANDRIA CITY,110 - CHARLES HOUSTON CENTER (0000),0,0,0,0,0
ALEXANDRIA CITY,111 - POTOMAC YARD (0000),0,0,0,0,0
ALEXANDRIA CITY,201 - NAOMI L. BROOKS SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,203 - CHARLES BARRETT CENTER (0000),0,0,0,0,0
ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH (0000),0,0,0,0,0
ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,206 - ALEXANDRIA CITY HIGH SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE (0000),0,0,0,0,0
ALEXANDRIA CITY,208 - NOVA ARTS CENTER (0000),0,0,0,0,0
ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,210 - F.T. DAY SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,211 - ALEX RENEW (0000),0,0,0,0,0
ALEXANDRIA CITY,212 - THE VIEW ALEXANDRIA (0000),0,0,0,0,0
ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER (0000),0,0,0,0,0
ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY (0000),0,0,0,0,0
ALEXANDRIA CITY,304 - TUCKER SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,305 - JOHN ADAMS SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,306 - WILLIAM RAMSAY SCHOOL (0000),0,0,0,0,0
ALEXANDRIA CITY,307 - TUCKER WEST (0000),0,0,0,0,0
ALEXANDRIA CITY,308 - CAMERON STATION COMMUNITY CTR (0000),0,0,0,0,0
